"","Mar'13","Mar'14","Mar'15","Mar'16","Mar'17","Mar'18","Mar'19","Mar'20","Mar'21","Mar'22"
"Sales ⓘ","40,441","40,509","38,445","40,875","44,054","48,686","53,614","45,488","44,630","57,446"
"YoY Gr. Rt. %","-","0.2%","-5.1%","6.3%","7.8%","10.5%","10.1%","-15.2%","-1.9%","28.7%"
"Adj EPS ⓘ","27.4","31.5","26.1","26.4","26.2","34.3","36.7","3.6","3.5","38.3"
"YoY Gr. Rt. %","-","15%","-17.4%","1.3%","-0.6%","30.8%","7.1%","-90.3%","-2.2%","996.6%"
"BVPS (₹) ⓘ","123","141","161.8","188","223.8","252.7","285.1","286.7","290.4","323.7"
"Adj Net Profit ⓘ","3,238","3,722","3,082","3,122","3,113","4,082","4,377","426","417","4,579"
"Cash Flow from Ops. ⓘ","4,146","3,728","3,219","5,471","3,710","7,027","4,924","3,678","9,594","7,094"
"Debt/CF from Ops. ⓘ","0.8","1.1","1.2","0.5","0.8","0.4","0.5","0.8","0.8","0.9"
"Return on Equity % ⓘ","24.2","23.7","17.1","15","12.7","14.3","13.6","1.2","1.2","12.4"
"Op. Profit Mgn % ⓘ","11.6","11.7","10.8","11.3","10.3","12.8","12.4","12.9","15.7","12.4"
"Net Profit Mgn % ⓘ","8","9.2","8","7.6","7.1","8.4","8.2","0.9","0.9","8"
"Debt to Equity ⓘ","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2"
"Working Cap Days ⓘ","64","76","88","84","80","86","88","100","107","105"
"Cash Conv. Cycle ⓘ","-10","-10","-10","-13","-15","-19","-20","-18","-25","-29"
